adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
False,/2skPNvhiF3B0pUigNm1L5KLWvrk.jpg,"[16, 28, 12, 35, 10751]",1276521,Charlie the Wonderdog,en,Charlie the Wonderdog,"Nine-year-old Danny teams up with his beloved family dog Charlie, who gets abducted by aliens and returns with superpowers, to thwart a plan by the neighbor's sinister cat Puddy to destroy humanity.",3.0092,/whvkL0wzxgKmVbaPontq9NlVd5z.jpg,2026-07-24,False,False,6.3,26
False,/y8nmXqkNgyVTKWwyfUHExQvGrXO.jpg,[18],1281195,Truly Naked,en,Truly Naked,"An introverted teen, who has only ever experienced sex through the lens while working for his father’s pornography business, must step out from behind the camera when a feisty classmate challenges him to embrace a real connection.",2.3754,/bGbCNEGn0kLwamrEEWysowzhGDJ.jpg,2026-07-24,False,False,7.0,5
False,/rYYUi8m3YdPxDRbjs3xU5ct3Rzi.jpg,[18],1317512,The World of Love,ko,세계의 주인,"Jooin, a 17-year-old student confused by love, unleashes chaos with some words spoken in a moment of anger. Anonymous notes questioning her actions begin to arrive, altering her quiet life.",1.7592,/cg679vCkXY9RH2iINLvdG68tzsQ.jpg,2026-07-17,False,False,7.7,33
False,,[99],1705946,Never Shut Up,zh,寰宇龍虎豹,,1.3852,/xltJGlilHk8fR7Leqmntf7dmoSA.jpg,2026-06-26,False,False,0.0,0
False,/y3iEI0J3dOUVecmUeCQO70O0hbz.jpg,"[10749, 18]",1636593,Us in the End,tl,Tayo sa Wakas,"Cisco and Cheska, a long-term couple, embark on a final ""break-up trip"" to decide whether to let go or fight for their relationship after years of growing apart due to conflicting ambitions.",1.5998,/kNwiWk5Q1XMuFJEZNFKjBzBQ0mQ.jpg,2026-07-10,False,False,8.5,3
False,/pN6sTnFXUuiDqR019WBFhCnQ2KX.jpg,"[18, 10402, 10749]",1433087,Love on Trial,ja,恋愛裁判,"Mai, a rising J-Pop idol, is finally about to have her big break when she unexpectedly falls in love. But in a treacherous industry where young singers must maintain an image of flawless purity, love is forbidden. When her relationship is exposed, Mai's agency takes drastic action, dragging the couple to court over the ""no love"" clause in her contract, throwing her life into chaos.",1.7914,/lK4uMp2IVTJELt5BLBvq3wR8JrM.jpg,2026-07-08,False,False,5.9,12
False,/tTSTelMF7p565fDThuRVRCpHjhw.jpg,"[18, 12, 878]",1172265,The Blue Trail,pt,O Último Azul,"In the name of economic recovery, the Brazilian Government created a perennial system of compulsory vertical isolation for seniors over 80 to be confined in a colony. Teca is 77 and lives in the village of Muriti, in the Amazon, when she is surprised by the announcement of the age reduction, including her age group. Cornered, Teca makes an intriguing journey hidden from the officers amidst rivers, boats and the underworld to clandestinely try to fulfill her last dream, to take a plane ride.",1.8519,/ua8XnJ450rhBTxkY2wpD2ITw7BJ.jpg,2026-06-17,False,False,6.92,106
False,/tehewlwOPFDDf4syutyopaY23AY.jpg,[27],1352774,Piglet,en,Piglet,"On Kate's 21st birthday camping trip, her friends encounter Piglet, a monstrous human-pig hybrid who brutally murders one of them. They uncover Piglet's origins and Kate must confront her past to survive the relentless killer.",1.9953,/mW7PYDUeWYwTdbtzThqLMfdNa56.jpg,2026-06-17,False,False,6.434,53
False,/1TznA7Dq4Rarmn883kSeQvzPIPw.jpg,[18],1531435,Shambhala Story,ja,Shambhala Story,"In the Himalayan foothills town of Darjeeling, India, a devout Tibetan Buddhist monk named Tashi is sent to Japan to continue his spiritual training. There, he meets a cantankerous elderly man and his parolee granddaughter, Emi. As Tashi grows closer to them, the distance between the lonely Emi and Tashi begins to shrink, and forbidden feelings start to emerge between them.",1.8834,/5uXRYjbkYPio0rxNs2v988MJWF1.jpg,2026-07-24,False,False,0.0,0
False,/xiHHjnWVaync0O7RC4f6dfxbdL7.jpg,[10402],1675093,ENHYPEN: IMMERSION IN CINEMAS,ko,ENHYPEN: IMMERSION IN CINEMAS,"A groundbreaking VR concert experience to theaters, showcasing a virtual, intimate performance featuring hits like ""Bite Me"" and ""XO (Only If You Say Yes)"" in special formats including ScreenX, 4DX, and Ultra 4DX for an immersive, 360-degree experience.",1.545,/999mVtRtS1pt1goa8t188cIdfyS.jpg,2026-06-24,False,False,0.0,0
